#,Team,Season,Playoffs,PTS/G,PTS,Plays,YDS,YDS/Play,1STDWN,3DMADE,3DATT,3DPCT,MADERED,ATTRED,PCTRED,PEN, PENYARDS,TOP,TOP 2,TODIFF,DefPTS,DefPLAYS,DefYDS,DefYDS/PLAY,Def1STDWN,Def3dMADE,Def3dATT,Def3dPCT,DefMADERED,DefATTRED,DefPCTRED,DefPEN,DefPENYDS,DefTOP
268,Saints,2018,Y,31.5,504,1010,6067,6,377,82,184,44.6,48,69,69.6,94,939,32:53:00,32:53,8,353,978,5585,5.7,333,78,189,41.3,31,49,63.3,85,814,29:34:00
269,Saints,2019,Y,28.6,458,1011,5982,5.9,347,81,192,42.2,34,57,59.6,120,1036,32:19:00,32:19,15,341,999,5329,5.3,311,73,210,34.8,28,47,59.6,92,713,28:41:00
270,Saints,2020,Y,30.1,482,1045,6025,5.8,367,93,208,44.7,49,68,72.1,98,1005,32:11:00,32:11,9,337,992,4974,5,320,79,207,38.2,34,50,68,64,517,29:42:00
271,Seahawks,2011,N,20.1,321,1003,4863,4.8,265,77,228,33.8,22,46,47.8,138,1047,28:23:00,28:23,8,315,1049,5315,5.1,310,77,221,34.8,19,39,48.7,96,907,32:11:00
272,Seahawks,2012,Y,25.8,412,974,5610,5.8,311,80,199,40.2,31,54,57.4,110,890,32:50:00,32:50,13,245,968,4899,5.1,295,76,198,38.4,17,38,44.7,102,902,29:38:00
273,Seahawks,2013,Y,26.1,417,973,5424,5.6,307,76,204,37.3,32,57,56.1,128,1183,31:32:00,31:32,20,231,990,4378,4.4,282,76,216,35.2,13,36,36.1,98,879,31:37:00
274,Seahawks,2014,Y,24.6,394,1021,6012,5.9,328,90,212,42.5,31,60,51.7,130,1009,32:22:00,32:22,10,254,925,4274,4.6,277,75,202,37.1,22,37,59.5,70,613,28:59:00
275,Seahawks,2015,Y,26.4,423,1035,6058,5.9,335,99,213,46.5,27,49,55.1,117,1007,32:14:00,32:14,7,277,947,4668,4.9,273,67,195,34.4,16,38,42.1,94,795,29:51:00
276,Seahawks,2016,Y,22.1,354,1012,5715,5.6,313,79,207,38.2,26,56,46.4,117,970,30:03:00,30:03,1,292,1020,5099,5,307,82,212,38.7,26,46,56.5,103,925,31:53:00
277,Seahawks,2017,N,22.9,366,1007,5286,5.2,299,79,212,37.3,25,45,55.6,148,1342,29:19:00,29:19,8,332,1045,5171,4.9,316,85,222,38.3,20,42,47.6,102,878,31:41:00
278,Seahawks,2018,Y,26.8,428,1012,5653,5.6,329,81,208,38.9,36,55,65.5,111,959,31:28:00,31:28,15,347,955,5653,5.9,323,64,183,35,25,51,49,108,981,29:57:00
279,Seahawks,2019,Y,25.3,405,1046,5991,5.7,341,79,200,39.5,38,60,63.3,109,882,31:26:00,31:26,12,398,1014,6106,6,346,71,185,38.4,32,52,61.5,96,798,29:25:00
